"﻿ID","Name","Tax status"
"917","Hulk - majica bela","taxable"
"918","Hulk - ženska majica bela","taxable"
"919","Hulk - duks beli","taxable"
"926","Indijana Džons 2 - majica bela","taxable"
"927","Indijana Džons 2 - ženska majica bela","taxable"
"928","Indijana Džons 2 - duks beli","taxable"
"929","Indijana Džons 2 - majica crna","taxable"
"930","Indijana Džons 2 - ženska majica crna","taxable"
"931","Indijana Džons 2 - duks crni","taxable"
"938","Indijana Džons - majica bela","taxable"
"939","Indijana Džons - ženska majica bela","taxable"
"940","Indijana Džons - duks beli","taxable"
"941","Indijana Džons - majica crna","taxable"
"942","Indijana Džons - ženska majica crna","taxable"
"943","Indijana Džons - duks crni","taxable"
"950","Jet Lee - majica bela","taxable"
"951","Jet Lee - ženska majica bela","taxable"
"952","Jet Lee - duks beli","taxable"
"953","Jet Lee - majica crna","taxable"
"954","Jet Lee - ženska majica crna","taxable"
"955","Jet Lee - duks crni","taxable"
"962","King Kong - majica bela","taxable"
"963","King Kong - ženska majica bela","taxable"
"965","King Kong - duks beli","taxable"
"966","King Kong - majica crna","taxable"
"967","King Kong - ženska majica crna","taxable"
"968","King Kong - duks crni","taxable"
"972","Kum (samo na crnoj) - majica crna","taxable"
"973","Kum (samo na crnoj) - ženska majica crna","taxable"
"974","Kum (samo na crnoj) - duks crni","taxable"
"981","La Casa De Papel - majica bela","taxable"
"982","La Casa De Papel - ženska majica bela","taxable"
"983","La Casa De Papel - duks beli","taxable"
"984","La Casa De Papel - majica crna","taxable"
"985","La Casa De Papel - ženska majica crna","taxable"
"986","La Casa De Papel - duks crni","taxable"
"990","La Casa De Papel (bella ciao) samo na beloj - majica bela","taxable"
"991","La Casa De Papel (bella ciao) samo na beloj - ženska majica bela","taxable"
"992","La Casa De Papel (bella ciao) samo na beloj - duks beli","taxable"
"999","Mućke - majica bela","taxable"
"1000","Mućke - ženska majica bela","taxable"
"1002","Mućke - duks beli","taxable"
"1003","Mućke -  majica crna","taxable"
"1004","Mućke - ženska majica crna","taxable"
"1005","Mućke - duks crni","taxable"
"1012","Narcoss - majica bela","taxable"
"1013","Narcoss - ženska majica bela","taxable"
"1014","Narcoss - duks beli","taxable"
"1015","Narcoss - majica crna","taxable"
"1016","Narcoss - ženska majica crna","taxable"
"1017","Narcoss - duks crni","taxable"
"1024","Peaky Blinders (Artur) - majica bela","taxable"
"1025","Peaky Blinders (Artur) - ženska majica bela","taxable"
"1026","Peaky Blinders (Artur) - duks beli","taxable"
"1027","Peaky Blinders (Artur) - majica crna","taxable"
"1028","Peaky Blinders (Artur) - ženska majica crna","taxable"
"1029","Peaky Blinders (Artur) - duks crni","taxable"
"1036","Peaky Blinders (Polly - izjava) - majica bela","taxable"
"1037","Peaky Blinders (Polly - izjava) - ženska majica bela","taxable"
"1038","Peaky Blinders (Polly - izjava) - duks beli","taxable"
"1039","Peaky Blinders (Polly - izjava) - majica crna","taxable"
"1040","Peaky Blinders (Polly - izjava) - ženska majica crna","taxable"
"1041","Peaky Blinders (Polly - izjava) - duks crni","taxable"
"1049","Policajac sa Beverli Hilsa - majica bela","taxable"
"1050","Policajac sa Beverli Hilsa - ženska majica bela","taxable"
"1051","Policajac sa Beverli Hilsa - duks beli","taxable"
"1052","Policajac sa Beverli Hilsa - majica crna","taxable"
"1053","Policajac sa Beverli Hilsa - ženska majica crna","taxable"
"1054","Policajac sa Beverli Hilsa - duks crni","taxable"
"1061","Pretty Woman - majica bela","taxable"
"1063","Pretty Woman - ženska majica bela","taxable"
"1064","Pretty Woman - duks beli","taxable"
"1065","Pretty Woman - majica  crna","taxable"
"1066","Pretty Woman - duks crni","taxable"
"1073","Psiho - majica bela","taxable"
"1074","Psiho - ženska majica bela","taxable"
"1075","Psiho - duks beli","taxable"
"1076","Psiho - majica crna","taxable"
"1078","Psiho - ženska majica crna","taxable"
"1079","Psiho - duks crni","taxable"
"1086","Pulp Fiction - majica bela","taxable"
"1087","Pulp Fiction - ženska majica bela","taxable"
"1088","Pulp Fiction - duks beli","taxable"
"1089","Pulp Fiction - majica crna","taxable"
"1090","Pulp Fiction - ženska majica crna","taxable"
"1091","Pulp Fiction - duks crni","taxable"
"1099","Revenant - majica bela","taxable"
"1100","Revenant - ženska majica bela","taxable"
"1101","Revenant - duks beli","taxable"
"1102","Revenant - majica crna","taxable"
"1103","Revenant - ženska majica crna","taxable"
"1104","Revenant - duks crni","taxable"
"1111","Rocky - majica bela","taxable"
"1112","Rocky - ženska majica bela","taxable"
"1113","Rocky - duks beli","taxable"
"1114","Rocky - majica crna","taxable"
"1115","Rocky - ženska majica crna","taxable"
"1116","Rocky - duks crni","taxable"
"1124","Rodni (Mućke) - majica bela","taxable"
"1125","Rodni (Mućke) - ženska majica bela","taxable"
"1126","Rodni (Mućke) - duks beli","taxable"
"1127","Rodni (Mućke) - majica crna","taxable"
"1128","Rodni (Mućke) - ženska majica crna","taxable"
"1129","Rodni (Mućke) - duks crni","taxable"
"1136","Rocky 2 - majica bela","taxable"
"1137","Rocky 2 - ženska majica bela","taxable"
"1138","Rocky 2 - duks beli","taxable"
"1139","Rocky 2 - majica crna","taxable"
"1140","Rocky 2 - ženska majica crna","taxable"
"1141","Rocky 2 - duks crni","taxable"
"1148","Scarface - majica bela","taxable"
"1149","Scarface - ženska majica bela","taxable"
"1150","Scarface - duks beli","taxable"
"1151","Scarface - majica crna","taxable"
"1152","Scarface - ženska majica crna","taxable"
"1153","Scarface - duks crni","taxable"
"1160","Sherlock (upitnik) - majica bela","taxable"
"1161","Sherlock (upitnik) - ženska majica bela","taxable"
"1162","Sherlock (upitnik) - duks beli","taxable"
"1163","Sherlock (upitnik) - majica crna","taxable"
"1164","Sherlock (upitnik) - ženska majica crna","taxable"
"1165","Sherlock (upitnik) - duks crni","taxable"
"1172","Sherlock - majica bela","taxable"
"1173","Sherlock - ženska majica bela","taxable"
"1174","Sherlock - duks beli","taxable"
"1175","Sherlock - majica crna","taxable"
"1176","Sherlock - ženska majica crna","taxable"
"1177","Sherlock - duks crni","taxable"
"1181","Squat like Tom Hardy is watching - majica bela","taxable"
"1182","Squat like Tom Hardy is watching - ženska majica bela","taxable"
"1183","Squat like Tom Hardy is watching - duks beli","taxable"
"1190","Statler and Waldorf - majica bela","taxable"
"1191","Statler and Waldorf - ženska majica bela","taxable"
"1192","Statler and Waldorf - duks beli","taxable"
"1193","Statler and Waldorf - majica crna","taxable"
"1194","Statler and Waldorf - ženska majica crna","taxable"
"1195","Statler and Waldorf - duks crni","taxable"
"1202","Supermen (ogledalo) - majica bela","taxable"
"1203","Supermen (ogledalo) - ženska majica bela","taxable"
"1204","Supermen (ogledalo) - duks beli","taxable"
"1205","Supermen (ogledalo) - majica crna","taxable"
"1206","Supermen (ogledalo) - ženska majica crna","taxable"
"1207","Supermen (ogledalo) - duks crni","taxable"
"1214","Tarzan - majica bela","taxable"
"1215","Tarzan - ženska majica bela","taxable"
"1216","Tarzan - duks beli","taxable"
"1217","Tarzan - majica crna","taxable"
"1218","Tarzan - ženska majica crna","taxable"
"1219","Tarzan - duks crni","taxable"
"1226","Terminator - majica bela","taxable"
"1227","Terminator - ženska majica bela","taxable"
"1228","Terminator - duks beli","taxable"
"1229","Terminator - majica crna","taxable"
"1230","Terminator - ženska majica crna","taxable"
"1231","Terminator - duks crni","taxable"
"1238","Tombstone - majica bela","taxable"
"1239","Tombstone - ženska majica bela","taxable"
"1240","Tombstone - duks beli","taxable"
"1241","Tombstone - majica crna","taxable"
